PA_RANK,Rank,Name,Team,G,PA,HR,R,RBI,SB,BB%,K%,ISO,BABIP,AVG,OBP,SLG,wOBA,wRC+,BsR,Off,Def,WAR,HR_per_PA,RBI_per_PA,R_per_PA,WAR_per_PA
636,643,Jordan Beck,COL,92,399,11,44,43,8,8.7%,28.4%,0.15,0.304,0.232,0.298,0.382,0.297,77,-0.1,-11.2,-4.5,-0.3,0.02756892230576441,0.10776942355889724,0.11027568922305764,-0.0007518796992481202
637,635,Matt Duffy,,31,133,1,11,9,1,6.9%,23.0%,0.075,0.282,0.221,0.282,0.297,0.26,65,-0.2,-5.5,0.0,-0.1,0.007518796992481203,0.06766917293233082,0.08270676691729323,-0.0007518796992481203
638,639,Dominic Fletcher,CHW,28,119,1,12,9,1,6.2%,23.0%,0.094,0.287,0.225,0.281,0.319,0.266,70,-0.2,-4.2,-1.1,-0.1,0.008403361344537815,0.07563025210084033,0.10084033613445378,-0.0008403361344537816
639,631,Joey Wendle,,28,119,1,11,9,3,4.7%,21.1%,0.094,0.274,0.222,0.267,0.316,0.258,64,-0.1,-5.1,0.6,-0.1,0.008403361344537815,0.07563025210084033,0.09243697478991597,-0.0008403361344537816
640,646,Kris Bryant,COL,112,483,12,53,49,2,8.3%,24.1%,0.138,0.302,0.241,0.317,0.379,0.307,83,-0.8,-10.4,-10.2,-0.5,0.024844720496894408,0.10144927536231885,0.10973084886128365,-0.0010351966873706005
641,644,Zach DeLoach,CHW,62,266,4,27,22,5,9.2%,29.3%,0.108,0.31,0.224,0.299,0.332,0.282,81,-0.1,-5.8,-5.5,-0.3,0.015037593984962405,0.08270676691729323,0.10150375939849623,-0.0011278195488721803
642,636,Greg Jones,COL,18,77,2,8,8,5,6.0%,37.8%,0.143,0.331,0.217,0.275,0.36,0.278,64,0.6,-2.7,-1.1,-0.1,0.025974025974025976,0.1038961038961039,0.1038961038961039,-0.0012987012987012987
643,632,Bryce Eldridge,SFG,16,70,2,7,8,0,7.6%,31.3%,0.151,0.296,0.222,0.28,0.373,0.285,83,-0.1,-1.5,-1.6,-0.1,0.02857142857142857,0.11428571428571428,0.1,-0.0014285714285714286
644,640,Tim Elko,CHW,16,70,2,7,7,0,4.0%,33.9%,0.139,0.32,0.229,0.263,0.368,0.273,76,-0.2,-2.1,-1.5,-0.1,0.02857142857142857,0.1,0.1,-0.0014285714285714286
645,647,Deyvison De Los Santos,MIA,94,406,15,40,49,0,3.4%,28.9%,0.165,0.299,0.238,0.266,0.403,0.288,81,-0.6,-10.0,-9.2,-0.6,0.03694581280788178,0.1206896551724138,0.09852216748768473,-0.0014778325123152708
646,641,Jac Caglianone,KCR,15,63,1,7,6,1,5.4%,25.0%,0.124,0.286,0.226,0.276,0.35,0.275,72,-0.1,-2.0,-1.4,-0.1,0.015873015873015872,0.09523809523809523,0.1111111111111111,-0.0015873015873015873
647,629,Aaron Schunk,COL,10,42,1,4,4,1,4.5%,25.2%,0.116,0.301,0.235,0.272,0.351,0.271,59,0.0,-2.1,0.2,-0.1,0.023809523809523808,0.09523809523809523,0.09523809523809523,-0.002380952380952381
